wl,n,k
0.565,2.1529,3.6581
0.566,2.1563,3.6625
0.567,2.1597,3.6668
0.568,2.1631,3.6712
0.569,2.1665,3.6756
0.57,2.1699,3.68
0.571,2.1733,3.6843
0.572,2.1767,3.6887
0.573,2.1801,3.693
0.574,2.1835,3.6973
0.575,2.1869,3.7017
0.576,2.1903,3.706
0.577,2.1937,3.7103
0.578,2.1971,3.7146
0.579,2.2005,3.7189
0.58,2.2039,3.7232
0.581,2.2073,3.7275
0.582,2.2106,3.7318
0.583,2.214,3.7361
0.584,2.2174,3.7403
0.585,2.2208,3.7446
0.586,2.2242,3.7488
0.587,2.2276,3.7531
0.588,2.2309,3.7573
0.589,2.2343,3.7616
0.59,2.2377,3.7658
0.591,2.2411,3.77
0.592,2.2445,3.7742
0.593,2.2478,3.7784
0.594,2.2512,3.7826
0.595,2.2546,3.7868
0.596,2.2579,3.791
0.597,2.2613,3.7952
0.598,2.2647,3.7994
0.599,2.268,3.8035
0.6,2.2714,3.8077
0.601,2.2747,3.8118
0.602,2.2781,3.816
0.603,2.2815,3.8201
0.604,2.2848,3.8243
0.605,2.2882,3.8284
0.606,2.2915,3.8325
0.607,2.2949,3.8366
0.608,2.2982,3.8408
0.609,2.3016,3.8449
0.61,2.3049,3.849
0.611,2.3083,3.853
0.612,2.3116,3.8571
0.613,2.3149,3.8612
0.614,2.3183,3.8653
0.615,2.3216,3.8693
0.616,2.3249,3.8734
0.617,2.3283,3.8775
0.618,2.3316,3.8815
0.619,2.3349,3.8856
0.62,2.3383,3.8896
0.621,2.3416,3.8936
0.622,2.3449,3.8976
0.623,2.3482,3.9017
0.624,2.3515,3.9057
0.625,2.3549,3.9097
0.626,2.3582,3.9137
0.627,2.3615,3.9177
0.628,2.3648,3.9217
0.629,2.3681,3.9257
0.63,2.3714,3.9296
0.631,2.3747,3.9336
0.632,2.378,3.9376
0.633,2.3813,3.9415
0.634,2.3846,3.9455
0.635,2.3879,3.9494
0.636,2.3912,3.9534
0.637,2.3945,3.9573
0.638,2.3978,3.9612
0.639,2.4011,3.9652
0.64,2.4044,3.9691
0.641,2.4077,3.973
0.642,2.411,3.9769
0.643,2.4142,3.9808
0.644,2.4175,3.9847
0.645,2.4208,3.9886
0.646,2.4241,3.9925
0.647,2.4273,3.9964
0.648,2.4306,4.0003
0.649,2.4339,4.0041
0.65,2.4371,4.008
0.651,2.4404,4.0119
0.652,2.4437,4.0157
0.653,2.4469,4.0196
0.654,2.4502,4.0234
0.655,2.4535,4.0272
0.656,2.4567,4.0311
0.657,2.46,4.0349
0.658,2.4632,4.0387
0.659,2.4665,4.0425
0.66,2.4697,4.0464
0.661,2.473,4.0502
0.662,2.4762,4.054
0.663,2.4794,4.0578
0.664,2.4827,4.0616
0.665,2.4859,4.0653
0.666,2.4891,4.0691
0.667,2.4924,4.0729
0.668,2.4956,4.0767
0.669,2.4988,4.0804
0.67,2.5021,4.0842
0.671,2.5053,4.088
0.672,2.5085,4.0917
0.673,2.5117,4.0955
0.674,2.5149,4.0992
0.675,2.5182,4.1029
0.676,2.5214,4.1067
0.677,2.5246,4.1104
0.678,2.5278,4.1141
0.679,2.531,4.1178
0.68,2.5342,4.1215
0.681,2.5374,4.1252
0.682,2.5406,4.129
0.683,2.5438,4.1326
0.684,2.547,4.1363
0.685,2.5502,4.14
0.686,2.5534,4.1437
0.687,2.5566,4.1474
0.688,2.5597,4.1511
0.689,2.5629,4.1547
0.69,2.5661,4.1584
0.691,2.5693,4.1621
0.692,2.5725,4.1657
0.693,2.5756,4.1694
0.694,2.5788,4.173
0.695,2.582,4.1767
0.696,2.5852,4.1803
0.697,2.5883,4.1839
0.698,2.5915,4.1876
0.699,2.5946,4.1912
0.7,2.5978,4.1948
0.701,2.601,4.1984
0.702,2.6041,4.202
0.703,2.6073,4.2056
0.704,2.6104,4.2092
0.705,2.6136,4.2128
0.706,2.6167,4.2164
0.707,2.6199,4.22
0.708,2.623,4.2236
0.709,2.6261,4.2272
0.71,2.6293,4.2307
0.711,2.6324,4.2343
0.712,2.6355,4.2379
0.713,2.6387,4.2414
0.714,2.6418,4.245
0.715,2.6449,4.2485
0.716,2.6481,4.2521
0.717,2.6512,4.2556
0.718,2.6543,4.2592
0.719,2.6574,4.2627
0.72,2.6605,4.2662
0.721,2.6636,4.2698
0.722,2.6667,4.2733
0.723,2.6699,4.2768
0.724,2.673,4.2803
0.725,2.6761,4.2838
0.726,2.6792,4.2873
0.727,2.6823,4.2908
0.728,2.6854,4.2943
0.729,2.6884,4.2978
0.73,2.6915,4.3013
0.731,2.6946,4.3048
0.732,2.6977,4.3083
0.733,2.7008,4.3118
0.734,2.7039,4.3152
0.735,2.707,4.3187
0.736,2.71,4.3222
0.737,2.7131,4.3256
0.738,2.7162,4.3291
0.739,2.7193,4.3326
0.74,2.7223,4.336
0.741,2.7254,4.3394
0.742,2.7285,4.3429
0.743,2.7315,4.3463
0.744,2.7346,4.3498
0.745,2.7376,4.3532
0.746,2.7407,4.3566
0.747,2.7438,4.36
0.748,2.7468,4.3635
0.749,2.7498,4.3669
0.75,2.7529,4.3703
0.751,2.7559,4.3737
0.752,2.759,4.3771
0.753,2.762,4.3805
0.754,2.7651,4.3839
0.755,2.7681,4.3873
0.756,2.7711,4.3907
0.757,2.7742,4.3941
0.758,2.7772,4.3974
0.759,2.7802,4.4008
0.76,2.7832,4.4042
0.761,2.7863,4.4076
0.762,2.7893,4.4109
0.763,2.7923,4.4143
0.764,2.7953,4.4176
0.765,2.7983,4.421
0.766,2.8013,4.4244
0.767,2.8043,4.4277
0.768,2.8073,4.431
0.769,2.8103,4.4344
0.77,2.8133,4.4377
0.771,2.8163,4.4411
0.772,2.8193,4.4444
0.773,2.8223,4.4477
0.774,2.8253,4.451
0.775,2.8283,4.4544
0.776,2.8313,4.4577
0.777,2.8343,4.461
0.778,2.8373,4.4643
0.779,2.8402,4.4676
0.78,2.8432,4.4709
0.781,2.8462,4.4742
0.782,2.8492,4.4775
0.783,2.8521,4.4808
0.784,2.8551,4.4841
0.785,2.8581,4.4874
0.786,2.861,4.4906
0.787,2.864,4.4939
0.788,2.867,4.4972
0.789,2.8699,4.5005
0.79,2.8729,4.5037
0.791,2.8758,4.507
0.792,2.8788,4.5103
0.793,2.8817,4.5135
0.794,2.8847,4.5168
0.795,2.8876,4.52
0.796,2.8906,4.5233
0.797,2.8935,4.5265
0.798,2.8964,4.5298
0.799,2.8994,4.533
0.8,2.9023,4.5362
0.801,2.9052,4.5395
0.802,2.9082,4.5427
0.803,2.9111,4.5459
0.804,2.914,4.5491
0.805,2.9169,4.5524
0.806,2.9199,4.5556
0.807,2.9228,4.5588
0.808,2.9257,4.562
0.809,2.9286,4.5652
0.81,2.9315,4.5684
0.811,2.9344,4.5716
0.812,2.9373,4.5748
0.813,2.9402,4.578
0.814,2.9431,4.5812
0.815,2.946,4.5844
0.816,2.9489,4.5876
0.817,2.9518,4.5907
0.818,2.9547,4.5939
0.819,2.9576,4.5971
0.82,2.9605,4.6003
0.821,2.9634,4.6034
0.822,2.9663,4.6066
0.823,2.9692,4.6098
0.824,2.972,4.6129
0.825,2.9749,4.6161
0.826,2.9778,4.6192
0.827,2.9807,4.6224
0.828,2.9835,4.6255
0.829,2.9864,4.6287
0.83,2.9893,4.6318
0.831,2.9921,4.635
0.832,2.995,4.6381
0.833,2.9978,4.6412
0.834,3.0007,4.6444
0.835,3.0036,4.6475
0.836,3.0064,4.6506
0.837,3.0093,4.6538
0.838,3.0121,4.6569
0.839,3.015,4.66
0.84,3.0178,4.6631
0.841,3.0206,4.6662
0.842,3.0235,4.6693
0.843,3.0263,4.6724
0.844,3.0292,4.6755
0.845,3.032,4.6786
0.846,3.0348,4.6817
0.847,3.0377,4.6848
0.848,3.0405,4.6879
0.849,3.0433,4.691
0.85,3.0461,4.6941
0.851,3.049,4.6972
0.852,3.0518,4.7002
0.853,3.0546,4.7033
0.854,3.0574,4.7064
0.855,3.0602,4.7095
0.856,3.063,4.7125
0.857,3.0658,4.7156
0.858,3.0686,4.7187
0.859,3.0714,4.7217
0.86,3.0742,4.7248
0.861,3.077,4.7278
0.862,3.0798,4.7309
0.863,3.0826,4.7339
0.864,3.0854,4.737
0.865,3.0882,4.74
0.866,3.091,4.7431
0.867,3.0938,4.7461
0.868,3.0966,4.7492
0.869,3.0994,4.7522
0.87,3.1021,4.7552
0.871,3.1049,4.7582
0.872,3.1077,4.7613
0.873,3.1105,4.7643
0.874,3.1132,4.7673
0.875,3.116,4.7703
0.876,3.1188,4.7734
0.877,3.1215,4.7764
0.878,3.1243,4.7794
0.879,3.1271,4.7824
0.88,3.1298,4.7854
0.881,3.1326,4.7884
0.882,3.1353,4.7914
0.883,3.1381,4.7944
0.884,3.1408,4.7974
0.885,3.1436,4.8004
0.886,3.1463,4.8034
0.887,3.1491,4.8064
0.888,3.1518,4.8094
